author;key;affiliation;university_homepage
A Min Tjoa;conf/icde/EsmayrKPPT96|conf/er/TjoaB93|conf/er/PernulT91|conf/er/PernulWT93|conf/er/TjoaW79|conf/er/EderK86|conf/dolap/MangisengiT98;University of Pittsburgh at Bradford;http://www.upb.pitt.edu/
A. A. Kaposi;journals/cj/MarkuszK85;Symbiosis International University;http://www.siu.edu.in/
A. A. Stogniy;conf/mfdbs/MalyutaPS89;Chonbuk Sanup University of Technology (Howon University);http://www.howon.ac.kr/
A. Amikam;journals/is/Amikam85;University of the West Indies St. Augustine;http://www.uwi.tt/
A. Andreassian;conf/icdcs/NoeA87;Fachhochschule St. Gallen;https://www.fhsg.ch/
A. B. Stephens;journals/tkde/StephensYH94;Prince Mohammad Bin Fahd University;http://www.pmu.edu.sa/
A. Baden;conf/ssdbm/GrossmanQVXDLMQMLMPBCLLNSS94;Université Hassan Ier - Settat;http://www.uh1.ac.ma/
A. Bagchi;journals/jacm/MahantiB85;Jinnah University for Women;http://www.juw.edu.pk/
A. Balaraman;conf/er/NavatheB91;Higher Institute of Business Administration;http://www.hiba.edu.sy/
A. Bendell;journals/cj/SamsonB85;Université d'Aix-Marseille III;http://www.u-3mrs.fr/
A. Bensoussan;journals/cacm/BensoussanCD72;Blessing-Rieman College of Nursing;http://www.brcn.edu/
A. Bilodeau;conf/icse/PotierAFB82;Long Island University, Southampton College;http://www.southampton.liunet.edu/
A. Birnie;conf/pos/AtkinsonBJP92;Kamrah International Institute of Technology (KIIT);http://www.kiit.in/
A. Bolour;journals/sigmod/BolourADW82|journals/is/BolourD83;University of Ghana;http://www.ug.edu.gh/
A. Bradier;conf/parle/Gonzalez-RubioRB87;Islamic Azad University, Najaf Abad;http://www.iaun.ac.ir/
A. Braun;conf/gis/BrinkhoffKSB95;Persian Gulf University;http://www.pgu.ac.ir/
A. Bruffaerts;conf/iclp/BruffaertsH88;Ecole Centrale de Lyon;http://www.ec-lyon.fr/
A. C. McKellar;journals/cacm/McKellarC69;Universitas Siliwangi;http://www.unsil.ac.id/
A. Carlisle Scott;journals/aim/SuwaSS82;Ibaraki Prefectural University of Health Sciences;http://www.ipu.ac.jp/
A. Cheng;conf/er/NavatheC83;Chiang Mai Vocational College;http://www.cmvc.ac.th/
A. Chesnais;journals/cacm/ChesnaisGM83;The Cooper Union for the Advancement of Science and Art;http://www.cooper.edu/
A. Christensen;conf/vldb/ChristensenZ87;Universidad Nacional de General Sarmiento;http://www.ungs.edu.ar/
A. D. Smet;conf/icde/BelfordLCCEGHKKLMMSYZRL84;Groupe Sup de Co Amiens Picardie;http://www.supco-amiens.fr/
A. Datta;conf/ssdbm/FournierHO86;University of Perugia;http://www.unipg.it/
A. Desai Narasimhalu;journals/mms/WuNMLG95|journals/mms/WuALLN94|journals/mta/NarasimhaluKW97|journals/mta/WuLMGN96|journals/ieeemm/WuN94|journals/computer/NarasimhaluC91|conf/vdb/LeongSN89|conf/mm/WuALMN93;Universidade Federal do Rio de Janeiro;http://www.ufrj.br/
A. Diekmann;conf/efdbs/HodingSCSBDHSST99;Universidad del Magdalena;http://www.unimagdalena.edu.co/
A. Dutkowski;conf/edbt/BelcastroDKKMMMSST88;Saybrook Institute;http://www.saybrook.org/
A. E. Eiben;conf/mfdbs/Eiben89;Universidad de Monterrey;http://www.udem.edu.mx/
A. E. Lang;journals/tkde/AgrawalAL94|conf/icde/AgrawalAL91;British College of Osteopathic Medicine;http://www.bcom.ac.uk/
A. E. Oldhoeft;conf/isca/RichardsO74;Haramaya University;http://www.haramaya.edu.et/
A. Eiger;conf/icde/DecorteEKK92;Fachhochschulstudiengänge Wels;http://www.fh-wels.at/
A. F. Lewit;conf/sigir/BuckleyL85;University of Benin;http://www.uniben.edu/
A. F. Umar Khan;journals/aim/SenatorGWCKKLMW95;Kanazawa University;http://www.kanazawa-u.ac.jp/
A. Fedeli;conf/ds/BracchiFP74;Universidade Vale do Rio Doce;http://www.univale.br/
A. Fukuda;journals/ijmms/TokudaF93;Universidade Estadual de Campinas;http://www.unicamp.br/
A. G. Shved;conf/adbis/VetoshkinGCS94;University of the Air;http://www.u-air.ac.jp/
A. Goralciková;conf/mfcs/GoralcikovaK79;Hanover College;http://www.hanover.edu/
A. Gunton;journals/cj/Gunton70;Université de Caen Basse Normandie;http://www.unicaen.fr/
A. H. G. Rinnooy Kan;journals/cacm/LagewegLK82;Les Roches Gruyère University of Applied Sciences;http://www.lrguas.ch/
A. H. Tan;journals/tkde/LowLTT91;Zhengzhou University of Technology;http://www.zzut.edu.cn/
A. Inkeri Verkamo;journals/datamine/MannilaTV97|conf/sigmetrics/Verkamo85|conf/pkdd/AhonenHKV97|conf/kdd/MannilaTV94|conf/kdd/MannilaTV95|conf/cikm/KlemettinenMRTV94;International Culinary Institute (ICI);http://www.ici-luzern.com/
A. J. Cole;journals/spe/ColeM82;Universität Fridericana Karlsruhe (Technische Hochschule);http://www.uni-karlsruhe.de/
A. J. G. Babu;journals/tods/RameshBK89;"Academy of Economics ""Dimitur A. Tscenov""";http://www.uni-svishtov.bg/
A. J. Herbert;journals/sigops/NeedhamHM83;Catholic University of Pusan;http://www.cup.ac.kr/
A. J. Kfoury;conf/caap/KfouryTU90|conf/stoc/KfouryTU90|conf/lics/KfouryTU87;National Institute of Technology, Trichy;http://www.nitt.edu/
A. J. M. van Gasteren;journals/ipl/DijkstraFG83;Les Roches Gruyère University of Applied Sciences;http://www.lrguas.ch/
A. J. Mayo;journals/sigops/WilkinsonACHMVWW81;Catholic University of Pusan;http://www.cup.ac.kr/
A. James Baroody Jr.;journals/tods/BaroodyD81|journals/tse/BaroodyD82;American University in Dubai;http://www.aud.edu/
A. John Hurst;conf/pos/HurstS89;Université d'Aix-Marseille III;http://www.u-3mrs.fr/
A. Joseph Rockmore;journals/aim/NiiFAR82;Meio University;http://www.meio-u.ac.jp/
A. Khivesera;conf/sigmod/BaulierBGGHJKKMMNNRSSSWW99;University of Lucknow;http://www.lucknowuniv.org/
A. Kramar;conf/ssdbm/WartelleKJK83;Kamrah International Institute of Technology (KIIT);http://www.kiit.in/
A. Krishnamurthy;conf/icmcs/ChenKLV95;Lincoln University Pennsylvania;http://www.lincoln.edu/
A. L. Davis;conf/isca/Davis78;Halmstad University College;http://www.hh.se/
