conf/icse/Green76|journals/ai/Clancey85a|journals/ibmrd/Heidorn76|journals/jacm/Summers77|journals/toplas/MannaW80|journals/tse/Balzer85|journals/tse/Barstow85|journals/tse/NechesSM85|journals/tse/RichS78|journals/tse/Waters85,http://doi.ieeecomputersociety.org/10.1109/69.87984|https://doi.org/10.1109/69.87984,IEEE Trans. Knowl. Data Eng.,journals/tkde/GomezW89,20/05/2017,398-405,Automatic Programming for End Users: The TOAD System.,1,1989,journal,,,Fernando Gomez,,Corinna Habeck|Michel Habib|David D. Grossman
conf/sp/AklD87|journals/cacm/Denning76|journals/csur/Landwehr81,http://doi.ieeecomputersociety.org/10.1109/69.469837|https://doi.org/10.1109/69.469837,IEEE Trans. Knowl. Data Eng.,journals/tkde/GongQ95,20/05/2017,839-841,Enriching the Expressive Power of Security Labels.,7,1995,journal,,,Li Gong,,Theodore Andronikos|Jürgen Koenemann|John N. Zigman
books/mk/Cattell96|conf/kdd/ChuC94|conf/sigmod/ChuMB93|conf/spieSR/DaneelsCNEBBF93|conf/spieSR/NiblackBEFGPYFT93|conf/ssd/Egenhofer91|conf/vldb/RabittiS92|journals/computer/MehrotraG95|journals/is/ChuCT95|journals/jiis/ChuYCMCL96|journals/tc/Perkins78|journals/tkde/BachPJ93|journals/tkde/ChuC94|journals/tkde/WorthLK92|journals/tse/ChangYDA88|journals/vldb/ChuIT94,http://doi.ieeecomputersociety.org/10.1109/69.536245|https://doi.org/10.1109/69.536245,IEEE Trans. Knowl. Data Eng.,journals/tkde/HsuCT96,20/05/2017,522-532,A Knowledge-Based Approach for Retrieving Images by Content.,8,1996,journal,,,Chih-Cheng Hsu,,Gabriella Monteleone|Naomi Nishimura|Arnaldo V. Moura
journals/tkde/FanS93,,IEEE Trans. Knowl. Data Eng.,journals/tkde/FanS93a,16/09/2012,900,"Corrections to ""An Efficient Algorithm for Matching Multiple Patterns"".",5,1993,journal,,,Jang-Jong Fan,corrections,Peter J. Denning|Ahmed E. Kamal|Huan Liu|Akira Fukuda|Yi-Jen Chiang|Abad A. Shah|Khaled Yagoub|Martin Schneider 0006|David L. Spooner|Andreas Zeller|Teodor C. Przymusinski
books/sp/kimrb85/Jarke85|conf/icde/Chakravarthy91|conf/icde/Graefe94|conf/icde/ParkS88|conf/sigmod/Finkelstein82|conf/vldb/ChakravarthyM86|conf/vldb/RosenkrantzH80|conf/vldb/RosenthalC88|journals/ibmrd/Hall76|journals/tods/Sellis88|journals/tods/WongY76,http://doi.ieeecomputersociety.org/10.1109/69.687980|https://doi.org/10.1109/69.687980,IEEE Trans. Knowl. Data Eng.,journals/tkde/ChenD98,20/05/2017,493-499,Common Subexpression Processing in Multiple-Query Processing.,10,1998,journal,,,Fa-Chung Fred Chen,,James M. Showalter|James H. Aylor|Nicola Leone
books/wi/KaufmanR90|conf/gis/SheikholeslamiZB97|conf/icmcs/WangYA97|conf/icmcs/ZhangCMS97|conf/mm/ChangSZS97|conf/mm/SmithC96|conf/sigir/CallanLC95|conf/sigir/Lee95|conf/sigmod/ZhangRL96|conf/trec/FoxS93|conf/trec/VoorheesGJ94|conf/vldb/GravanoG95|conf/vldb/GravanoG97|conf/vldb/NgH94|journals/cn/Koster94|journals/computer/FlicknerSAHDGHLPSY95|journals/computer/GudivadaR95|journals/csys/DanzigLO92|journals/mta/RemiasSZS97|journals/tkde/BachPJ93,http://doi.ieeecomputersociety.org/10.1109/69.738358|https://doi.org/10.1109/69.738358,IEEE Trans. Knowl. Data Eng.,journals/tkde/ChangSWZ98,20/06/2018,926-946,Data Resource Selection in Distributed Visual Information Systems.,10,1998,journal,,,Wendy Chang,,Rony Attar|Pamela Surko|My Hoang
books/aw/Samet90|conf/pods/OrensteinM84|conf/pods/OukselS83|conf/sigmod/Freeston87|conf/sigmod/Orenstein86|conf/sigmod/Robinson81|journals/bit/Burkhard83|journals/bit/Hinrichs85|journals/cacm/Bentley75|journals/cacm/RothnieL74|journals/csur/Comer79|journals/spe/DandamudiS86|journals/tods/NievergeltHS84,http://doi.ieeecomputersociety.org/10.1109/69.277778|https://doi.org/10.1109/69.277778,IEEE Trans. Knowl. Data Eng.,journals/tkde/Kumar94,20/05/2017,341-347,G-Tree: A New Data Structure for Organizing Multidimensional Data.,6,1994,journal,,,Akhil Kumar 0001,g|tree,Tarik Bouaziz|Sudhir K. Arora|B. Clifford Neuman|Arie Tzvieli|Rafael Alonso|George G. Dodd
books/aw/BernsteinHG87|books/mk/elmagarmid92/ChrysanthisR92|conf/dasfaa/SonK93|conf/ds/GrayLPT76|conf/icdcs/SonK92|conf/icde/KamathR93|conf/icde/WiederholdQ87|conf/icde/WuYP92|conf/ride/PuL92|conf/sigmod/KorthS88|conf/sigmod/PuL91|conf/vldb/DuE89|conf/wmrd/BarbaraG90|conf/wmrd/ShethR90|journals/csur/BernsteinG81|journals/dpd/PuHKWY95|journals/jacm/Papadimitriou79b|journals/jacm/YuDL93|journals/tkde/RamamrithamP95|journals/tkde/YuHD91|journals/tods/AgrawalCL87|journals/tods/AlonsoBG90|journals/tods/FranaszekR85|journals/tods/Garcia-MolinaW82|journals/tods/KrishnakumarB94|journals/tods/KungR81|journals/tse/YuD92,http://doi.ieeecomputersociety.org/10.1109/69.591451|https://doi.org/10.1109/69.591451,IEEE Trans. Knowl. Data Eng.,journals/tkde/WuYP97,20/05/2017,262-274,Divergence Control Algorithms for Epsilon Serializability.,9,1997,journal,,,Kun-Lung Wu,,Subbarao Ghanta|Milton A. Gottschall|Bernard Silver
conf/ijcai/HadzikadicY89|journals/ai/GennariLF89|journals/ml/Fisher87|journals/ml/HansonB89|journals/ml/Langley87a|journals/ml/Lebowitz87,http://doi.ieeecomputersociety.org/10.1109/69.567059|https://doi.org/10.1109/69.567059,IEEE Trans. Knowl. Data Eng.,journals/tkde/HadzikadicB97,20/05/2017,168-173,Learning to Predict: INC2.5.,9,1997,journal,,,Mirsad Hadzikadic,,Nina Mills|Matthias Reich|A. Tjahjana
books/bc/tanselCGSS93/Lorentzos93|books/bc/tanselCGSS93/NavatheA93|books/kl/Snodgrass95|books/mg/CannanO93|conf/dexa/LorentzosM94|conf/icde/CliffordC87|conf/sigmod/DadamKABEGLPW86|conf/sigmod/SegevS87|conf/tdb/LorentzosJ87|journals/cacm/Codd70|journals/cj/LorentzosPS94|journals/dke/LorentzosPS95|journals/gis/Al-TahaSS94|journals/is/Lorentzos92|journals/is/RothKB87|journals/isci/Tansel91|journals/sigmod/JensenCEGHJ94|journals/tkde/Lorentzos94|journals/tkde/Sarda90|journals/tods/Ariav86|journals/tods/CliffordC94|journals/tods/Gadia88|journals/tods/OzsoyogluOM87|journals/tods/Snodgrass87,http://doi.ieeecomputersociety.org/10.1109/69.599935|https://doi.org/10.1109/69.599935,IEEE Trans. Knowl. Data Eng.,journals/tkde/LorentzosM97,20/05/2017,480-499,SQL Extension for Interval Data.,9,1997,journal,,,Nikos A. Lorentzos,,Wai Lam|Talel Abdessalem|Cliff B. Jones
