AlgoSyn;Dominique Gückel|Jacob Spönemann|Kai Bollue|Melanie Winkler|Ulrich Loup;http://www.algosyn.rwth-aachen.de/GK%20Workshop/Dagstuhl2010.pdf;3-86130-146-6;conf/dagstuhl/2010algosyn;2011-03-15;Verlagshaus Mainz, Aachen, Germany;N/A;Proceedings of the Joint Workshop of the German Research Training Groups in Computer Science, Algorithmic synthesis of reactive and discrete-continuous systems, AlgoSyn 2010, May 31 - June 2, 2010;N/A;2010.0;N/A
WMT;Antonio Jimeno-Yepes|Barry Haddow|Christian Buck|Christian Federmann|Julia Kreutzer|Matthias Huck|Ondrej Bojar|Philipp Koehn|Rajen Chatterjee|Yvette Graham;http://aclanthology.info/volumes/proceedings-of-the-second-conference-on-machine-translation|http://aclweb.org/anthology/W17-47;978-1-945626-96-8;conf/wmt/2017;2017-09-15;Association for Computational Linguistics;N/A;Proceedings of the Second Conference on Machine Translation, WMT 2017, Copenhagen, Denmark, September 7-8, 2017;N/A;2017.0;Denmark
NSDR;Richard J. Anderson|William Thies;http://dl.acm.org/citation.cfm?id=1999927;978-1-4503-0739-0;conf/nsdr/2011;2015-05-17;ACM;N/A;Proceedings of the 5th ACM workshop on Networked systems for developing regions, NSDR '11, Bethesda, MD, USA, June 28, 2011;N/A;2011.0;Bethesda,MD,USA
Ershov Memorial Conference;Andrei Voronkov|Irina Virbitskaite;https://doi.org/10.1007/978-3-662-46823-4;978-3-662-46822-7;conf/ershov/2014;2017-05-21;Springer;Lecture Notes in Computer Science;Perspectives of System Informatics - 9th International Ershov Informatics Conference, PSI 2014, St. Petersburg, Russia, June 24-27, 2014. Revised Selected Papers;8974;2015.0;St. Petersburg,Russia
CCTA (1);Daoliang Li|Yingyi Chen;https://doi.org/10.1007/978-3-642-36124-1;978-3-642-36123-4;conf/ifip12/2012ccta-1;2017-05-21;Springer;IFIP Advances in Information and Communication Technology;Computer and Computing Technologies in Agriculture VI - 6th IFIP WG 5.14 International Conference, CCTA 2012, Zhangjiajie, China, October 19-21, 2012, Revised Selected Papers, Part I;392;2013.0;China
CLEF;Anselmo Peñas|Djoerd Hiemstra|Giuseppe Santucci|Pamela Forner|Tiziana Catarci;https://doi.org/10.1007/978-3-642-33247-0;978-3-642-33246-3;conf/clef/2012;2017-06-02;Springer;Lecture Notes in Computer Science;Information Access Evaluation. Multilinguality, Multimodality, and Visual Analytics - Third International Conference of the CLEF Initiative, CLEF 2012, Rome, Italy, September 17-20, 2012. Proceedings;7488;2012.0;Rome,Italy
ROBIO;N/A;http://ieeexplore.ieee.org/xpl/mostRecentIssue.jsp?punumber=7397291;978-1-4673-9675-2;conf/robio/2015;2016-03-03;IEEE;N/A;2015 IEEE International Conference on Robotics and Biomimetics, ROBIO 2015, Zhuhai, China, December 6-9, 2015;N/A;2015.0;Zhuhai,China
DAGM-Symposium;Heinz Handels|Siegfried J. Pöppl;N/A;3-540-57279-1;conf/dagm/1993;2002-02-06;Springer;Informatik Aktuell;Mustererkennung 1993, Mustererkennung im Dienste der Gesundheit, 15. DAGM-Symposium, Lübeck, 27.-29. September 1993, Proceedings;N/A;1993.0;N/A
HOIT;Andy Sloane|Felix van Rijn;N/A;0-7923-7867-9;conf/ifip9-3/2000;2002-08-30;Kluwer;IFIP Conference Proceedings;"Home Informatics and Telematics: Information, Technology and Society, IFIP TC9 WG9.3 International Conference on Home Oriented Informatics and Telematics (HOIT 2000), ""IF at Home: Virtual Influences on Everyday Life"", June 28-30, 2000, Wolverhampton, UK";173;2000.0;UK
CSCloud;Jianwei Niu 0002|Lixin Tao|Meikang Qiu;http://ieeexplore.ieee.org/xpl/mostRecentIssue.jsp?punumber=7529275|https://www.computer.org/csdl/proceedings/cscloud/2016/0946/00/index.html;978-1-5090-0946-6;conf/cscloud/2016;2019-02-21;IEEE Computer Society;N/A;3rd IEEE International Conference on Cyber Security and Cloud Computing, CSCloud 2016, Beijing, China, June 25-27, 2016;N/A;2016.0;Beijing,China
ICAIL Workshop;N/A;N/A;N/A;conf/icail/2003w;2015-04-30;ACM;N/A;Evaluation of Legal Reasoning and Problem-Solving Systems, Papers from the ICAIL 2003 Workshop, Edinburgh, Scotland, UK, June 28, 2003;N/A;2003.0;Edinburgh,Scotland,UK
FORTE;Atsushi Togashi|Norio Shiratori|Tadanori Mizuno|Teruo Higashino;N/A;0-412-82060-9;conf/forte/1997;2003-02-12;Chapman & Hall;IFIP Conference Proceedings;Formal Description Techniques and Protocol Specification, Testing and Verification, FORTE X / PSTV XVII'97, IFIP TC6 WG6.1 Joint International Conference on Formal Description Techniques for Distributed Systems and Communication Protocols (FORTE X) and Protocol Specification, Testing and Verification (PSTV XVII), 18-21 November, 1997, Osaka, Japan;107;1998.0;Osaka,Japan
ICICDT;N/A;http://ieeexplore.ieee.org/xpl/mostRecentIssue.jsp?punumber=6832295;978-1-4799-2153-9;conf/icicdt/2014;2016-05-18;IEEE;N/A;2014 IEEE International Conference on IC Design & Technology, ICICDT 2014, Austin, TX, USA, May 28-30, 2014;N/A;2014.0;Austin,USA
Ontologie und Axiomatik der Wissensbasis von LILOG;Ewald Lang|Gudrun Klose|Thomas Pirlein;https://doi.org/10.1007/978-3-642-77387-7;3-540-55306-1;conf/lilog/1992;2017-05-26;Springer;Informatik-Fachberichte;Ontologie und Axiomatik der Wissensbasis von LILOG, Wissensmodellierung im IBM Deutschland LILOG-Projekt;307;1992.0;Axiomatik,Wissensbasis
COLING;N/A;http://aclweb.org/anthology/C/C88/;963-8431-56-3;conf/coling/1988;2013-03-06;John von Neumann Society for Computing Sciences, Budapest;N/A;Proceedings of the 12th International Conference on Computational Linguistics, COLING '88, Budapest, Hungary, August 22-27, 1988;N/A;1988.0;Budapest,Hungary
PASTE;Jeff Foster|Lori L. Pollock;http://dl.acm.org/citation.cfm?id=2024569;978-1-4503-0849-6;conf/paste/2011;2012-05-22;ACM;N/A;Proceedings of the 10th ACM SIGPLAN-SIGSOFT workshop on Program analysis for software tools, PASTE'11, Szeged, Hungary, September 5-9, 2011;N/A;2011.0;Szeged,Hungary
ESEC/SIGSOFT FSE;Harald C. Gall|Michel Wermelinger;N/A;1-59593-014-0;conf/sigsoft/2005;2015-04-01;ACM;N/A;Proceedings of the 10th European Software Engineering Conference held jointly with 13th ACM SIGSOFT International Symposium on Foundations of Software Engineering, 2005, Lisbon, Portugal, September 5-9, 2005;N/A;2005.0;Lisbon,Portugal
WUWNet;Liuqing Yang 0001|Mario Gerla|T. C. Yang|Tommaso Melodia;http://dl.acm.org/citation.cfm?id=2398936;978-1-4503-1773-3;conf/wuwnet/2012;2017-07-20;ACM;N/A;Conference on Under Water Networks, WUWNet '12, Los Angeles, CA, USA, November 5-6, 2012;N/A;2012.0;Los Angeles,CA,USA
PAM;Jelena Mirkovic|Yong Liu;https://doi.org/10.1007/978-3-319-15509-8;978-3-319-15508-1;conf/pam/2015;2017-05-23;Springer;Lecture Notes in Computer Science;Passive and Active Measurement - 16th International Conference, PAM 2015, New York, NY, USA, March 19-20, 2015, Proceedings;8995;2015.0;New York,NY,USA
BIOINFORMATICS;Ana L. N. Fred|Hugo Gamboa|Joaquim Filipe;N/A;978-989-674-019-1;conf/biostec/2010bi;2011-04-29;INSTICC Press;N/A;BIOINFORMATICS 2010 - Proceedings of the First International Conference on Bioinformatics, Valencia, Spain, January 20-23, 2010;N/A;2010.0;Valencia,Spain
MMNS;Kevin C. Almeroth|Masum Z. Hasan;https://doi.org/10.1007/3-540-45812-3;3-540-44271-5;conf/mmns/2002;2017-05-26;Springer;Lecture Notes in Computer Science;Management of Multimedia on the Internet, 5th IFIP/IEEE International Conference on Management of Multimedia Networks and Services, MMNS 2002, Santa Barbara, CA, USA, October 6-9, 2002, Proceedings;2496;2002.0;Santa Barbara,CA, USA
CICM;Bruce R. Miller|Frank Wm. Tompa|Leonardo de Moura|Michael Kohlhase|Moa Johansson;https://doi.org/10.1007/978-3-319-42547-4;978-3-319-42546-7;conf/mkm/2016;2017-05-17;Springer;Lecture Notes in Computer Science;Intelligent Computer Mathematics - 9th International Conference, CICM 2016, Bialystok, Poland, July 25-29, 2016, Proceedings;9791;2016.0;Bialystok,Poland
FMOODS;Frank S. de Boer|Gilles Barthe;https://doi.org/10.1007/978-3-540-68863-1;978-3-540-68862-4;conf/fmoods/2008;2017-06-13;Springer;Lecture Notes in Computer Science;Formal Methods for Open Object-Based Distributed Systems, 10th IFIP WG 6.1 International Conference, FMOODS 2008, Oslo, Norway, June 4-6, 2008, Proceedings;5051;2008.0;Oslo,Norway
ICTCSDM;B. S. Panda|Jay Bagga|Lowell W. Beineke|S. Arumugam;https://doi.org/10.1007/978-3-319-64419-6;978-3-319-64418-9|978-3-319-64419-6;conf/ictcsdm/2016;2017-08-17;Springer;Lecture Notes in Computer Science;Theoretical Computer Science and Discrete Mathematics - First International Conference, ICTCSDM 2016, Krishnankoil, India, December 19-21, 2016, Revised Selected Papers;10398;2017.0;India
EuroISI;Daniel Dajun Zeng|Daniel Ortiz Arroyo|David L. Hicks|Gerhard Wagner|Henrik Legind Larsen;https://doi.org/10.1007/978-3-540-89900-6;978-3-540-89899-3;conf/euroisi/2008;2017-06-13;Springer;Lecture Notes in Computer Science;Intelligence and Security Informatics, First European Conference, EuroISI 2008, Esbjerg, Denmark, December 3-5, 2008. Proceedings;5376;2008.0;Esbjerg,Denmark
UAI;Marina Meila|Tom Heskes;http://auai.org/uai2015/proceedings/uai-2015-proceedings.pdf;978-0-9966431-0-8;conf/uai/2015;2016-01-31;AUAI Press;N/A;Proceedings of the Thirty-First Conference on Uncertainty in Artificial Intelligence, UAI 2015, July 12-16, 2015, Amsterdam, The Netherlands;N/A;2015.0;Amsterdam,The Netherlands
FMSPLE@ETAPS;Joanne M. Atlee|Stefania Gnesi;http://arxiv.org/abs/1504.03014|https://doi.org/10.4204/EPTCS.182|https://www.wikidata.org/entity/Q56493378;N/A;journals/corr/AtleeG15;2018-11-14;N/A;EPTCS;Proceedings 6th Workshop on Formal Methods and Analysis in SPL Engineering, FMSPLE@ETAPS 2015, London, UK, 11 April 2015.;182;2015.0;London,UK
AGILE Conf.;Anders Friis-Christensen|Hardy Pundt|Lars Bernard;https://doi.org/10.1007/978-3-540-78946-8;978-3-540-78945-1;conf/agile/2008;2017-05-25;Springer;Lecture Notes in Geoinformation and Cartography;The European Information Society: Taking Geoinformation Science One Step Further, Proceedings of the 11th AGILE Conference, Girona, Spain, 5-8 May, 2008;N/A;2008.0;Spain
GIScience;Christian Freksa|Harvey J. Miller|Max J. Egenhofer;https://doi.org/10.1007/b101397;3-540-23558-2;conf/giscience/2004;2017-05-30;Springer;Lecture Notes in Computer Science;Geographic Information Science, Third International Conference, GIScience 2004, Adelphi, MD, USA, October 20-23, 2004, Proceedings;3234;2004.0;Adelphi,MD,USA
CIKM-CNIKM;Dell Zhang|Jun Wang|Shi Zhou;N/A;978-1-60558-807-0;conf/cikm/2009cnikm;2013-04-10;ACM;N/A;Proceeding of the ACM First International Workshop on Complex Networks Meet Information & Knowledge Management, CIKM-CNIKM 2009, Hong Kong, China, November 6, 2009;N/A;2009.0;Hong Kong,China
NSPW;Anil Somayaji|Mohammad Mannan|Paul C. van Oorschot|Rainer Böhme;https://doi.org/10.1145/2841113;978-1-4503-3754-0;conf/nspw/2015;2018-11-06;ACM;N/A;Proceedings of the 2015 New Security Paradigms Workshop, NSPW 2015, Twente, The Netherlands, September 8-11, 2015;N/A;2015.0;The Netherlands
IRI;N/A;N/A;N/A;conf/iri/2008;2009-02-14;IEEE Systems, Man, and Cybernetics Society;N/A;Proceedings of the IEEE International Conference on Information Reuse and Integration, IRI 2008, 13-15 July 2008, Las Vegas, Nevada, USA;N/A;2008.0;Las Vegas,Nevada,USA
